Team,Goals (Dependent),Shots (Independent)
Philadelphia Flyers,32,231
New Jersey Devils,29,215
Detroit Red Wings,26,300
 New York Rangers,24,208
Montreal Canadians,26,229
Boston Bruins,24,221
New York Islanders,22,196
Edmonton Oilers ,23,216
Phoenix Coyotes,22,185
Ottawa Senators,23,192
Anaheim Mighty Ducks,20,191
Toronto Maple Leafs,21,243
Vancouver Canucks,22,205
Atlanta Thrashers,23,204
Washington Capitals,19,179
Minnesota Wild,20,128
Calgary Flames,18,175
Nashville Predators,18,209
Dallas Stars ,17,162
Los Angeles Kings,18,163
St.Louis Blues,16,115
Pittsburgh Penguins,18,159
Tampa Bay Lightning,15,148
San Jose Sharks,17,195
Florida Panthers,13,166
Chicago Blackhawks,13,196
Carolina Hurricanes,13,174
Buffalo Sabres,14,174
Columbus Blue Jackets,15,217
Colorado Avalanche,12,130
